Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,72.349998,72.470001,70.769997,70.970001,56.257683,2858639
2019-01-03,71.250000,71.980003,70.860001,71.839996,56.947327,3345567
2019-01-04,71.500000,71.959999,71.080002,71.889999,56.986961,3501951
2019-01-07,72.500000,72.989998,72.449997,72.570000,57.525993,2615597
2019-01-08,72.379997,72.800003,72.004997,72.470001,57.446732,2363648
2019-01-09,72.629997,72.750000,72.055000,72.330002,57.335747,2317350
2019-01-10,72.379997,72.449997,71.709999,72.449997,57.430870,2617459
2019-01-11,72.480003,72.489998,71.660004,71.660004,56.804649,2187613
2019-01-14,71.930000,72.279999,71.599998,71.919998,57.010742,2511661
2019-01-15,72.480003,72.800003,72.290001,72.650002,57.589413,2350615
2019-01-16,72.779999,72.989998,72.139999,72.550003,57.510143,2463396
2019-01-17,72.910004,73.084999,72.559998,72.769997,57.684532,2510233
2019-01-18,73.089996,73.419998,72.930000,73.230003,58.049183,1943242
2019-01-21,73.419998,73.550003,72.930000,73.050003,57.906487,1412257
2019-01-22,72.680000,72.940002,71.919998,72.180000,57.216846,2142852
2019-01-23,71.900002,72.419998,71.639999,72.129997,57.177216,1979598
2019-01-24,72.389999,72.550003,71.860001,72.510002,57.478439,1862511
2019-01-25,72.669998,72.959999,72.290001,72.540001,57.502213,5756348
2019-01-29,72.019997,72.370003,71.279999,71.349998,56.558910,2569527
2019-01-30,71.230003,71.334999,70.824997,71.239998,56.471714,3204973
2019-01-31,71.239998,71.449997,69.910004,69.910004,55.417419,4965542
2019-02-01,69.230003,70.269997,69.150002,69.760002,55.298523,3144898
2019-02-04,69.449997,70.919998,69.220001,70.300003,55.726585,2595413
2019-02-05,73.690002,73.889999,72.410004,73.599998,58.342472,7693619
2019-02-06,73.900002,74.250000,72.019997,72.599998,57.549782,5414328
2019-02-07,72.589996,74.250000,72.500000,74.059998,58.707111,4119932
2019-02-08,73.449997,74.945000,73.449997,74.750000,59.254086,5082651
2019-02-11,74.589996,74.750000,73.339996,73.820000,58.516861,2926427
2019-02-12,73.790001,74.129997,73.150002,73.330002,58.128452,3431996
2019-02-13,71.750000,71.750000,70.949997,71.209999,58.030647,6133536
2019-02-14,71.209999,71.339996,70.550003,70.589996,57.525402,2787802
2019-02-15,70.500000,71.035004,70.250000,70.809998,57.704689,2578410
2019-02-18,71.470001,71.480003,70.660004,70.970001,57.835079,2057522
2019-02-19,70.720001,71.849998,70.720001,71.669998,58.405518,2952891
2019-02-20,71.500000,72.190002,71.169998,71.660004,58.397369,2514470
2019-02-21,72.199997,73.220001,71.980003,73.099998,59.570862,4539658
2019-02-22,73.209999,73.849998,72.730003,73.849998,60.182049,4838373
2019-02-25,73.800003,73.930000,73.050003,73.760002,60.108707,2485374
2019-02-26,73.690002,73.690002,72.800003,73.150002,59.611614,2069074
2019-02-27,73.430000,73.709999,73.150002,73.650002,60.019070,2223896
2019-02-28,73.510002,73.949997,73.160004,73.949997,60.263550,3968439
2019-03-01,73.949997,74.650002,73.900002,74.349998,60.589523,3554240
2019-03-04,74.550003,74.815002,73.980003,74.050003,60.345036,2261615
2019-03-05,73.690002,74.230003,73.550003,74.059998,60.353180,2616966
2019-03-06,74.089996,74.750000,74.010002,74.750000,60.915497,3025463
2019-03-07,74.980003,75.000000,74.510002,74.680000,60.858433,3135990
2019-03-08,74.000000,74.139999,73.099998,73.180000,59.636051,3624931
2019-03-11,72.680000,73.279999,72.599998,73.050003,59.530113,2164041
2019-03-12,73.690002,74.000000,73.510002,73.690002,60.051662,2355849
2019-03-13,73.129997,73.150002,72.269997,72.699997,59.244881,2971382
2019-03-14,73.389999,73.389999,72.510002,72.550003,59.122654,2031806
2019-03-15,73.339996,73.339996,72.029999,72.309998,58.927063,5551817
2019-03-18,72.029999,72.610001,71.519997,71.750000,58.470715,3044657
2019-03-19,72.300003,72.300003,71.260002,71.330002,58.128441,2978248
2019-03-20,71.010002,71.320000,70.699997,70.790001,57.688389,3282179
2019-03-21,70.529999,71.190002,70.510002,71.129997,57.965462,4797875
2019-03-22,71.300003,71.849998,71.000000,71.430000,58.209938,1612285
2019-03-25,70.629997,70.910004,70.300003,70.779999,57.680244,2792861
2019-03-26,70.739998,70.959999,70.470001,70.709999,57.623184,2274251
2019-03-27,70.599998,70.839996,70.199997,70.839996,57.729137,2413219
2019-03-28,70.820000,71.040001,70.300003,70.910004,57.786175,2981799
2019-03-29,70.779999,71.000000,70.379997,70.639999,57.566158,5134907
2019-04-01,71.000000,71.769997,71.000000,71.360001,58.152893,1893435
2019-04-02,71.900002,72.160004,71.254997,71.379997,58.169189,2267274
2019-04-03,71.510002,71.690002,71.050003,71.389999,58.177338,2582854
2019-04-04,71.519997,71.580002,70.959999,71.230003,58.046959,2364739
2019-04-05,71.059998,71.250000,70.629997,70.889999,57.769878,2601681
2019-04-08,71.010002,71.070000,70.500000,70.669998,57.590599,2086127
2019-04-09,70.559998,70.599998,69.720001,70.250000,57.248333,2741284
2019-04-10,70.139999,71.029999,70.029999,70.750000,57.655792,2079661
2019-04-11,70.269997,70.459999,70.000000,70.260002,57.256489,3282063
2019-04-12,70.940002,71.739998,70.794998,71.629997,58.372913,3170599
2019-04-15,71.940002,72.279999,71.860001,72.190002,58.829273,2279880
2019-04-16,72.089996,72.809998,72.000000,72.690002,59.236744,2535090
2019-04-17,72.800003,73.449997,72.779999,73.290001,59.725689,2583116
2019-04-18,73.650002,73.830002,73.080002,73.410004,59.823490,2739790
2019-04-23,73.580002,74.330002,73.290001,74.199997,60.467270,3027492
2019-04-24,74.500000,75.339996,74.430000,75.160004,61.249611,6661349
2019-04-26,75.089996,75.500000,74.870003,75.449997,61.485924,2906927
2019-04-29,75.400002,75.449997,74.699997,75.110001,61.208858,1673023
2019-04-30,74.910004,75.070000,74.514999,74.519997,60.728054,2336279
2019-05-01,74.809998,75.860001,74.699997,75.500000,61.526684,2275425
2019-05-02,75.000000,75.029999,74.459999,74.860001,61.005127,1967634
2019-05-03,74.919998,75.375000,74.449997,74.980003,61.102917,2066251
2019-05-06,74.470001,75.239998,74.290001,74.940002,61.070328,1621358
2019-05-07,75.070000,75.650002,74.610001,74.610001,60.801392,1890973
2019-05-08,74.209999,74.800003,74.150002,74.739998,60.907326,1569921
2019-05-09,74.419998,75.290001,74.419998,75.169998,61.257740,1893374
2019-05-10,75.180000,75.480003,74.800003,75.400002,61.445175,2007443
2019-05-13,73.900002,74.000000,73.089996,73.500000,59.896832,3217303
2019-05-14,72.760002,72.900002,72.014999,72.570000,59.138947,3135573
2019-05-15,72.690002,72.889999,72.220001,72.540001,59.114498,2903634
2019-05-16,72.930000,73.330002,72.410004,73.330002,59.758297,3245252
2019-05-17,73.900002,73.989998,72.735001,72.830002,59.350830,2939669
2019-05-20,76.959999,77.720001,75.000000,77.400002,63.075024,10224511
2019-05-21,79.599998,79.790001,77.050003,78.970001,64.354462,6145587
2019-05-22,78.699997,79.000000,78.160004,79.000000,64.378914,3539248
2019-05-23,78.930000,78.930000,78.029999,78.150002,63.686222,3187084
2019-05-24,77.750000,78.180000,77.309998,78.180000,63.710670,2851840
2019-05-27,77.510002,78.120003,77.510002,77.639999,63.270596,1439079
2019-05-28,77.839996,78.339996,77.750000,78.040001,63.596569,4145532
2019-05-29,77.529999,77.989998,77.349998,77.889999,63.474342,2732763
2019-05-30,77.379997,78.419998,77.379997,78.199997,63.726959,3465876
