Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,67.029999,67.989998,67.029999,67.260002,61.699558,17485
2019-04-02,67.500000,68.129997,67.309998,67.790001,62.185745,9806
2019-04-03,68.150002,69.290001,67.870003,68.099998,62.470112,10667
2019-04-04,68.139999,69.180000,68.000000,68.150002,62.515984,19192
2019-04-05,68.139999,68.230003,68.029999,68.059998,62.433422,13769
2019-04-08,68.199997,68.500000,68.199997,68.489998,62.827862,12837
2019-04-09,68.449997,68.449997,68.099998,68.309998,62.662743,14956
2019-04-10,68.250000,68.250000,68.000000,68.000000,62.378384,10338
2019-04-11,67.980003,68.000000,67.760002,67.790001,62.185745,17567
2019-04-12,68.150002,68.300003,68.099998,68.250000,62.607716,15933
2019-04-15,68.099998,68.150002,67.980003,68.029999,62.405899,13946
2019-04-16,68.080002,68.470001,68.070000,68.400002,62.745308,11559
2019-04-17,68.199997,68.349998,68.000000,68.110001,62.479286,21558
2019-04-18,68.480003,68.480003,68.010002,68.010002,62.387558,12298
2019-04-23,68.500000,69.139999,68.500000,69.139999,63.424133,14558
2019-04-24,69.629997,70.320000,69.629997,70.070000,64.277245,12908
2019-04-26,69.900002,70.000000,69.519997,69.769997,64.002052,19459
2019-04-29,70.000000,70.080002,69.809998,69.989998,64.203873,13380
2019-04-30,69.949997,69.949997,69.760002,69.889999,64.112129,20286
2019-05-01,70.199997,70.559998,70.199997,70.410004,64.589149,22142
2019-05-02,70.000000,70.040001,69.910004,69.959999,64.176346,14612
2019-05-03,70.080002,70.169998,70.000000,70.099998,64.304764,12886
2019-05-06,70.199997,70.400002,69.680000,69.730003,63.965351,18445
2019-05-07,69.739998,70.500000,69.540001,69.580002,63.827755,26025
2019-05-08,69.010002,69.559998,68.949997,69.070000,63.359924,12945
2019-05-09,69.199997,69.400002,69.019997,69.059998,63.350735,16570
2019-05-10,68.930000,69.589996,68.500000,68.589996,62.919601,20345
2019-05-13,69.580002,69.580002,68.440002,68.599998,62.928780,9689
2019-05-14,67.669998,68.239998,67.330002,67.910004,62.295834,16551
2019-05-15,68.440002,68.889999,68.410004,68.680000,63.002171,14224
2019-05-16,69.040001,69.349998,68.800003,69.019997,63.314056,14188
2019-05-17,69.860001,70.489998,69.860001,70.019997,64.231384,15314
2019-05-20,70.019997,70.120003,69.519997,69.650002,63.891968,28750
2019-05-21,69.099998,69.809998,68.800003,69.809998,64.038742,14996
2019-05-22,69.769997,69.959999,69.580002,69.620003,63.864464,20217
2019-05-23,69.730003,69.730003,69.300003,69.300003,63.570915,16605
2019-05-24,68.910004,69.220001,68.650002,68.989998,63.286537,22408
2019-05-27,68.879997,68.879997,68.500000,68.580002,62.910431,17646
2019-05-28,68.750000,69.120003,68.750000,68.820000,63.130592,33438
2019-05-29,68.250000,68.250000,67.879997,67.959999,62.341686,43821
2019-05-30,67.639999,67.699997,67.519997,67.620003,62.029797,12970
2019-05-31,67.580002,67.580002,67.400002,67.400002,61.827976,18538
2019-06-03,66.669998,66.669998,66.449997,66.580002,61.075768,14510
2019-06-04,66.559998,66.620003,66.400002,66.489998,60.993217,42950
2019-06-05,67.519997,67.699997,67.459999,67.480003,61.901371,137613
2019-06-06,67.800003,68.099998,67.739998,67.739998,62.139870,36211
2019-06-07,68.320000,68.669998,68.279999,68.599998,62.928780,15829
2019-06-11,69.820000,70.190002,69.510002,70.099998,64.304764,21737
2019-06-12,70.180000,70.320000,70.019997,70.099998,64.304764,17060
2019-06-13,70.339996,70.480003,70.089996,70.239998,64.433197,30499
2019-06-14,70.529999,70.779999,70.410004,70.650002,64.809303,16067
2019-06-17,70.750000,70.790001,70.519997,70.750000,64.901039,21438
2019-06-18,70.849998,71.000000,70.510002,70.849998,64.992775,16366
2019-06-19,71.169998,71.639999,71.169998,71.570000,65.653236,22865
2019-06-20,71.389999,71.870003,71.389999,71.860001,65.919273,20182
2019-06-21,71.750000,71.800003,71.320000,71.360001,65.460594,20880
2019-06-24,71.500000,71.570000,71.360001,71.410004,65.506477,17733
2019-06-25,71.419998,71.519997,71.120003,71.199997,65.313828,21824
2019-06-26,70.720001,70.820000,70.510002,70.510002,64.680893,23661
2019-06-27,70.510002,70.589996,70.389999,70.559998,64.726746,15032
2019-06-28,70.519997,70.519997,70.320000,70.320000,64.506584,12112
2019-07-01,70.260002,70.510002,70.059998,70.449997,65.388039,28608
2019-07-02,70.680000,70.730003,70.470001,70.599998,65.527252,31719
2019-07-03,70.650002,70.739998,70.550003,70.599998,65.527252,27822
2019-07-04,70.620003,70.849998,70.550003,70.650002,65.573662,32141
2019-07-05,70.820000,70.870003,70.730003,70.809998,65.722168,10998
2019-07-08,70.779999,70.790001,70.480003,70.529999,65.462273,22655
2019-07-09,70.610001,70.650002,70.449997,70.529999,65.462273,27197
2019-07-10,71.080002,71.239998,71.059998,71.059998,65.954201,16787
2019-07-11,71.220001,71.379997,71.150002,71.250000,66.130554,19717
2019-07-12,71.040001,71.040001,70.870003,70.889999,65.796417,15552
2019-07-15,70.519997,70.519997,70.410004,70.459999,65.397324,27543
2019-07-16,70.519997,70.589996,70.470001,70.589996,65.517975,20660
2019-07-17,70.550003,70.629997,70.379997,70.589996,65.517975,35436
2019-07-18,70.150002,70.150002,69.730003,69.760002,64.747612,22873
2019-07-19,69.940002,70.449997,69.900002,70.400002,65.341629,16800
2019-07-22,69.970001,70.000000,69.730003,69.919998,64.896118,19492
2019-07-23,70.379997,70.620003,70.260002,70.480003,65.415878,17445
2019-07-24,71.029999,71.339996,71.029999,71.099998,65.991325,16422
2019-07-25,71.309998,71.589996,71.230003,71.589996,66.446121,20247
2019-07-26,71.599998,71.669998,71.349998,71.669998,66.520370,22937
2019-07-29,71.870003,72.180000,71.750000,72.029999,66.854500,27711
2019-07-30,72.379997,72.419998,72.269997,72.370003,67.170082,14586
2019-07-31,72.349998,72.410004,72.080002,72.139999,66.956596,26029
2019-08-01,71.760002,71.790001,71.510002,71.620003,66.473969,18638
2019-08-02,71.510002,71.510002,70.839996,71.160004,66.047035,20996
2019-08-05,70.949997,71.089996,70.290001,70.320000,65.267372,11348
2019-08-06,70.190002,70.190002,68.000000,69.120003,64.153603,38336
2019-08-07,69.930000,70.449997,69.580002,70.300003,65.248817,21472
2019-08-08,70.349998,70.529999,69.930000,70.250000,65.202400,24622
2019-08-09,70.989998,71.000000,70.250000,70.940002,65.842819,20392
2019-08-12,70.720001,70.860001,70.540001,70.699997,65.620064,15128
2019-08-13,70.529999,70.529999,70.099998,70.150002,65.109589,23310
2019-08-14,70.730003,71.099998,70.610001,71.070000,65.963478,28581
2019-08-15,69.699997,69.730003,69.180000,69.330002,64.348503,61151
2019-08-16,69.250000,69.760002,69.180000,69.339996,64.357788,23570
2019-08-19,70.370003,70.489998,70.239998,70.370003,65.313789,30122
2019-08-20,70.709999,71.000000,70.709999,70.800003,65.712891,27479
2019-08-21,70.389999,70.739998,70.269997,70.360001,65.304504,22992
2019-08-22,70.870003,71.080002,70.870003,70.930000,65.833557,15512
2019-08-23,70.949997,71.250000,70.900002,71.250000,66.130554,45837
2019-08-26,69.510002,69.660004,69.080002,69.110001,64.144302,19464
2019-08-27,69.760002,70.180000,69.760002,69.889999,64.868279,16607
2019-08-28,70.419998,70.440002,69.809998,70.260002,65.211685,14729
2019-08-29,70.260002,70.489998,70.169998,70.449997,65.388039,19243
2019-08-30,71.029999,71.540001,70.910004,71.339996,66.214088,29750
2019-09-02,71.050003,71.419998,70.860001,71.029999,65.926369,10774
2019-09-03,71.000000,71.510002,71.000000,71.150002,66.037735,13974
2019-09-04,70.620003,71.099998,70.570000,71.050003,65.944923,36206
2019-09-05,71.120003,71.709999,71.120003,71.599998,66.455414,31224
2019-09-06,71.709999,71.889999,71.690002,71.690002,66.538948,23966
2019-09-09,71.680000,71.779999,71.290001,71.570000,66.427551,14539
2019-09-10,71.449997,71.559998,71.220001,71.309998,66.186241,25162
2019-09-11,71.500000,71.750000,71.279999,71.529999,66.390434,29709
2019-09-12,71.709999,72.500000,71.709999,72.089996,66.910194,16012
2019-09-13,72.180000,72.430000,72.099998,72.389999,67.188637,13186
2019-09-16,72.099998,72.129997,71.709999,71.910004,66.743141,22115
2019-09-17,71.849998,72.160004,71.639999,72.040001,66.863792,16400
2019-09-18,72.169998,72.169998,72.010002,72.089996,66.910194,15793
2019-09-19,72.580002,72.910004,72.580002,72.779999,67.550621,13469
2019-09-20,73.000000,73.260002,72.959999,73.080002,67.829056,15451
2019-09-23,73.239998,73.349998,72.720001,73.150002,67.894035,16651
2019-09-24,73.309998,73.389999,73.190002,73.199997,67.940437,10119
2019-09-25,72.480003,72.639999,72.400002,72.610001,67.392830,18565
2019-09-26,73.070000,73.120003,72.919998,73.000000,67.754814,9341
2019-09-27,73.010002,73.099998,72.940002,73.040001,67.791939,13340
2019-09-30,73.029999,73.160004,72.949997,73.129997,67.875458,13672
2019-10-01,73.209999,73.970001,73.209999,73.970001,68.655121,21419
2019-10-02,73.059998,73.089996,72.910004,73.010002,67.764091,15635
2019-10-03,72.129997,72.129997,71.120003,71.230003,66.112000,35984
2019-10-04,71.500000,71.660004,71.379997,71.660004,66.511086,20415
2019-10-07,72.000000,72.139999,71.919998,72.139999,66.956596,10809
2019-10-08,72.379997,73.050003,72.379997,72.470001,67.262909,10301
2019-10-09,72.099998,72.099998,71.500000,71.580002,66.436852,14609
2019-10-10,71.690002,72.139999,71.675003,71.919998,66.752396,22258
2019-10-11,72.470001,72.580002,72.339996,72.540001,67.327858,14406
2019-10-14,73.050003,73.139999,73.000000,73.040001,67.791939,13331
2019-10-15,73.000000,73.239998,73.000000,73.239998,67.977570,18156
2019-10-16,73.400002,74.029999,73.400002,73.949997,68.636536,22631
2019-10-17,73.760002,73.760002,73.330002,73.400002,68.126076,18108
2019-10-18,73.400002,73.400002,73.040001,73.110001,67.856903,9531
2019-10-21,73.199997,73.349998,72.760002,72.779999,67.550621,17976
2019-10-22,73.510002,73.580002,73.059998,73.160004,67.903328,17836
2019-10-23,73.199997,73.199997,72.690002,73.000000,67.754814,14220
2019-10-24,73.099998,73.839996,73.099998,73.529999,68.246727,16861
2019-10-25,73.550003,74.099998,73.459999,73.839996,68.534454,20885
2019-10-28,74.500000,75.000000,74.120003,74.480003,69.128479,23392
2019-10-29,75.000000,75.000000,74.290001,74.290001,68.952126,14437
2019-10-30,74.279999,74.279999,73.910004,73.970001,68.655121,19402
2019-10-31,73.989998,74.279999,73.820000,73.860001,68.553017,21285
2019-11-01,74.000000,74.250000,73.879997,73.989998,68.673676,20855
2019-11-04,74.309998,74.919998,74.309998,74.459999,69.109917,18480
2019-11-05,75.000000,75.959999,74.529999,75.180000,69.778183,22079
2019-11-06,75.080002,75.349998,74.839996,74.860001,69.481171,21210
2019-11-07,75.010002,75.540001,75.010002,75.360001,69.945244,21013
2019-11-08,75.389999,75.620003,75.040001,75.300003,69.889565,16012
2019-11-11,75.820000,75.989998,75.300003,75.699997,70.260818,19104
2019-11-12,75.699997,75.889999,75.680000,75.830002,70.381477,16909
2019-11-13,75.889999,75.989998,75.639999,75.650002,70.214417,17249
2019-11-14,75.730003,76.570000,75.730003,76.300003,70.817711,19936
2019-11-15,76.559998,76.760002,76.430000,76.510002,71.012604,26963
2019-11-18,76.580002,76.750000,76.449997,76.559998,71.059013,32124
2019-11-19,76.720001,76.989998,76.650002,76.970001,71.439560,20135
2019-11-20,76.989998,76.989998,76.250000,76.360001,70.873390,26379
2019-11-21,76.790001,76.849998,76.029999,76.160004,70.687759,9692
2019-11-22,76.489998,76.750000,76.370003,76.459999,70.966194,16547
2019-11-25,76.739998,76.739998,76.580002,76.599998,71.096138,17306
2019-11-26,76.730003,77.519997,76.690002,77.349998,71.792259,78128
2019-11-27,77.459999,77.580002,76.889999,77.580002,72.005737,34166
