Date,Open,High,Close,Adj Close,Volume
2024-04-08 10:02:00+10:00,118.77999877929688,118.80000305175781,118.66999816894531,118.70999908447266,118.70999908447266,0
2024-04-08 10:03:00+10:00,118.66999816894531,118.75,118.63999938964844,118.73500061035156,118.73500061035156,4705
2024-04-08 10:04:00+10:00,118.70999908447266,118.75,118.5999984741211,118.73999786376953,118.73999786376953,5964
2024-04-08 10:05:00+10:00,118.7300033569336,118.88999938964844,118.69999694824219,118.81999969482422,118.81999969482422,5369
2024-04-08 10:06:00+10:00,118.83999633789062,118.87000274658203,118.79000091552734,118.86000061035156,118.86000061035156,4022
2024-04-08 10:07:00+10:00,118.8499984741211,118.8499984741211,118.63999938964844,118.68000030517578,118.68000030517578,4009
2024-04-08 10:08:00+10:00,118.66000366210938,118.69000244140625,118.52999877929688,118.66000366210938,118.66000366210938,2680
2024-04-08 10:09:00+10:00,118.63999938964844,118.66000366210938,118.55500030517578,118.58999633789062,118.58999633789062,2568
2024-04-08 10:10:00+10:00,118.58000183105469,118.62000274658203,118.55000305175781,118.61000061035156,118.61000061035156,561
2024-04-08 10:11:00+10:00,118.58999633789062,118.75,118.58499908447266,118.62999725341797,118.62999725341797,2559
2024-04-08 10:12:00+10:00,118.6500015258789,118.7300033569336,118.58999633789062,118.66000366210938,118.66000366210938,2741
2024-04-08 10:13:00+10:00,118.66999816894531,118.69000244140625,118.5999984741211,118.69000244140625,118.69000244140625,1475
2024-04-08 10:14:00+10:00,118.69999694824219,118.7300033569336,118.67500305175781,118.72000122070312,118.72000122070312,1512
2024-04-08 10:15:00+10:00,118.71499633789062,118.83999633789062,118.71499633789062,118.79000091552734,118.79000091552734,995
2024-04-08 10:16:00+10:00,118.80999755859375,118.91000366210938,118.80000305175781,118.91000366210938,118.91000366210938,6494
2024-04-08 10:17:00+10:00,118.9000015258789,118.94000244140625,118.9000015258789,118.9000015258789,118.9000015258789,3653
2024-04-08 10:18:00+10:00,118.91000366210938,118.98999786376953,118.91000366210938,118.91999816894531,118.91999816894531,4133
2024-04-08 10:19:00+10:00,118.91999816894531,118.91999816894531,118.86000061035156,118.87000274658203,118.87000274658203,192
2024-04-08 10:20:00+10:00,118.87000274658203,118.88999938964844,118.87000274658203,118.88999938964844,118.88999938964844,174
2024-04-08 10:21:00+10:00,118.88999938964844,118.91000366210938,118.88999938964844,118.91000366210938,118.91000366210938,501
2024-04-08 10:22:00+10:00,118.91000366210938,119.0,118.91000366210938,118.95999908447266,118.95999908447266,3220
2024-04-08 10:23:00+10:00,118.98999786376953,119.0199966430664,118.95999908447266,118.9749984741211,118.9749984741211,3187
2024-04-08 10:24:00+10:00,118.98999786376953,119.0199966430664,118.9800033569336,119.0,119.0,7308
2024-04-08 10:25:00+10:00,119.0199966430664,119.0199966430664,118.9800033569336,119.0,119.0,7818
2024-04-08 10:26:00+10:00,119.0,119.01499938964844,118.98999786376953,119.0,119.0,3346
2024-04-08 10:27:00+10:00,118.98999786376953,119.0,118.98999786376953,119.0,119.0,207
2024-04-08 10:28:00+10:00,118.98999786376953,118.98999786376953,118.8499984741211,118.8499984741211,118.8499984741211,1310
2024-04-08 10:29:00+10:00,118.86000061035156,118.87999725341797,118.83000183105469,118.87000274658203,118.87000274658203,1396
2024-04-08 10:30:00+10:00,118.87000274658203,118.87000274658203,118.77999877929688,118.80000305175781,118.80000305175781,3652
2024-04-08 10:31:00+10:00,118.80999755859375,118.80999755859375,118.7300033569336,118.7300033569336,118.7300033569336,1076
2024-04-08 10:32:00+10:00,118.70999908447266,118.70999908447266,118.63999938964844,118.67500305175781,118.67500305175781,1960
2024-04-08 10:33:00+10:00,118.69000244140625,118.75,118.68499755859375,118.73999786376953,118.73999786376953,1269
2024-04-08 10:34:00+10:00,118.7249984741211,118.7249984741211,118.69000244140625,118.69999694824219,118.69999694824219,1132
2024-04-08 10:35:00+10:00,118.69000244140625,118.72000122070312,118.67500305175781,118.72000122070312,118.72000122070312,1439
2024-04-08 10:36:00+10:00,118.72000122070312,118.83999633789062,118.72000122070312,118.83000183105469,118.83000183105469,1276
2024-04-08 10:37:00+10:00,118.83999633789062,118.83999633789062,118.80000305175781,118.80000305175781,118.80000305175781,970
2024-04-08 10:38:00+10:00,118.83000183105469,118.83000183105469,118.80999755859375,118.81999969482422,118.81999969482422,651
2024-04-08 10:39:00+10:00,118.83999633789062,118.83999633789062,118.80000305175781,118.80999755859375,118.80999755859375,672
2024-04-08 10:40:00+10:00,118.80000305175781,118.8499984741211,118.80000305175781,118.83000183105469,118.83000183105469,1775
2024-04-08 10:41:00+10:00,118.8499984741211,118.8499984741211,118.77999877929688,118.80999755859375,118.80999755859375,1738
2024-04-08 10:42:00+10:00,118.81999969482422,118.83999633789062,118.80999755859375,118.80999755859375,118.80999755859375,1406
2024-04-08 10:43:00+10:00,118.80999755859375,118.86000061035156,118.80999755859375,118.83000183105469,118.83000183105469,1299
2024-04-08 10:44:00+10:00,118.81999969482422,118.83999633789062,118.81999969482422,118.83999633789062,118.83999633789062,581
2024-04-08 10:45:00+10:00,118.83999633789062,118.9800033569336,118.83999633789062,118.93000030517578,118.93000030517578,5387
2024-04-08 10:46:00+10:00,118.91999816894531,118.91999816894531,118.86000061035156,118.87999725341797,118.87999725341797,579
2024-04-08 10:47:00+10:00,118.87000274658203,118.87999725341797,118.81999969482422,118.81999969482422,118.81999969482422,2619
2024-04-08 10:48:00+10:00,118.83000183105469,118.87000274658203,118.83000183105469,118.87000274658203,118.87000274658203,663
2024-04-08 10:49:00+10:00,118.87000274658203,118.88999938964844,118.87000274658203,118.88999938964844,118.88999938964844,1082
2024-04-08 10:50:00+10:00,118.87999725341797,118.91000366210938,118.87000274658203,118.875,118.875,1589
2024-04-08 10:51:00+10:00,118.86000061035156,118.86000061035156,118.80000305175781,118.80000305175781,118.80000305175781,2460
